name,month,year,tag_1,tag_2,tag_3,url,img,display
District Map,3,2019,memory,,,https://www.charleshawkings.com/a-district-map,city.png,yes
VSP,7,2019,modularity,,,https://www.charleshawkings.com/vsp,vsp.png,yes
Pepper,8,2019,modularity,,,https://www.charleshawkings.com/the-pepper-project,pepper.png,yes
Ocean Deep,9,2019,ephemerality,,,https://www.charleshawkings.com/ocean-deep,ocean.png,yes
Log,11,2019,modularity,vitality,,https://www.charleshawkings.com/the-log,log.png,yes
Foodtruck Paradise,12,2019,modularity,planarity,,https://www.charleshawkings.com/cycle-at-foodtruck-paradise,foodtruck.png,yes
Tenley Tavern,6,2020,vitality,,,https://www.charleshawkings.com/tenley-tavern,tenley.png,yes
Katsura Three,8,2020,modularity,vitality,,https://www.charleshawkings.com/katsura-three,katsura.png,yes
Spiderwebs,8,2020,modularity,,,https://www.charleshawkings.com/spiderwebs,spiderwebs.png,yes
Hug Rock,9,2020,memory,ephemerality,,https://www.charleshawkings.com/hug-rock,hug.png,yes
Library,12,2020,memory,modularity,planarity,https://www.charleshawkings.com/library,library.png,yes
Headlamp,1,2019,rationality,,,,,no
Fractal Lamp,8,2020,modularity,,,,,no
